budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,genres_parsed,production_countries_parsed
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.titanicmovie.com,597,"[{""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2984, ""name"": ""iceberg""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 4388, ""name"": ""titanic""}, {""id"": 4953, ""name"": ""ocean liner""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 7579, ""name"": ""rich woman - poor man""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10703, ""name"": ""tragic love""}, {""id"": 14514, ""name"": ""class differences""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 165086, ""name"": ""star crossed lovers""}, {""id"": 182615, ""name"": ""steerage""}, {""id"": 182621, ""name"": ""salvage""}, {""id"": 182625, ""name"": ""rich snob""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 210184, ""name"": ""1910s""}]",en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-18,1845034188,194.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Nothing on Earth could come between them.,Titanic,7.5,7562,1997.0,"['Drama', 'Romance', 'Thriller']",['United States of America']
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",,8487,"[{""id"": 10028, ""name"": ""steampunk""}, {""id"": 10988, ""name"": ""based on tv series""}, {""id"": 163671, ""name"": ""steam locomotive""}, {""id"": 171636, ""name"": ""drag""}]",en,Wild Wild West,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915,"[{""name"": ""Todman, Simon, LeMasters Productions"", ""id"": 2507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Peters Entertainment"", ""id"": 16774}, {""name"": ""Sonnenfeld Josephson Worldwide Entertainment"", ""id"": 57088}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-06-29,222104681,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's a whole new west.,Wild Wild West,5.1,1020,1999.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",['United States of America']
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",,9804,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 331, ""name"": ""tattoo""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 4237, ""name"": ""water""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 34161, ""name"": ""doomsday""}]",en,Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",44.640292,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Gordon Company"", ""id"": 1073}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Licht/Mueller Film Corporation"", ""id"": 6092}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-07-28,264218220,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992,1995.0,"['Adventure', 'Action']",['United States of America']
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",,95,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 90, ""name"": ""paris""}, {""id"": 305, ""name"": ""moon""}, {""id"": 843, ""name"": ""cataclysm""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 9882, ""name"": ""space""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 164889, ""name"": ""eiffel tower paris""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 199076, ""name"": ""disaster movie""}, {""id"": 211487, ""name"": ""space centre""}]",en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-07-01,553799566,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482,1998.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",['United States of America']
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,944,"[{""id"": 167377, ""name"": ""lapd""}, {""id"": 167381, ""name"": ""house on fire""}, {""id"": 188944, ""name"": ""revolver""}]",en,Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",24.855701,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Donner/Shuler-Donner Productions"", ""id"": 5739}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-07-10,285444603,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767,1998.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",['United States of America']
135000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,36643,"[{""id"": 6731, ""name"": ""british""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 10590, ""name"": ""oil""}, {""id"": 41185, ""name"": ""heiress""}, {""id"": 41188, ""name"": ""bilbao spain""}, {""id"": 156095, ""name"": ""british secret service""}]",en,The World Is Not Enough,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",39.604363,"[{""name"": ""Eon Productions"", ""id"": 7576}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-11-08,361832400,128.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6.0,862,1999.0,"['Adventure', 'Action', 'Thriller']","['United Kingdom', 'United States of America']"
65000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",,861,"[{""id"": 560, ""name"": ""oxygen""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 839, ""name"": ""mars""}, {""id"": 848, ""name"": ""double life""}, {""id"": 1475, ""name"": ""telepathy""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 3249, ""name"": ""hologram""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 3864, ""name"": ""false identity""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 187008, ""name"": ""false memory""}, {""id"": 187046, ""name"": ""implanted memory""}]",en,Total Recall,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",43.129703,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""Carolco International N.V."", ""id"": 80461}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1990-06-01,261317921,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"They stole his mind, now he wants it back.",Total Recall,7.1,1710,1990.0,"['Action', 'Adventure', 'Science Fiction']",['United States of America']
160000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,1911,"[{""id"": 616, ""name"": ""witch""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 1975, ""name"": ""arabian""}, {""id"": 5475, ""name"": ""scandinavia""}, {""id"": 5894, ""name"": ""bagdad""}, {""id"": 5895, ""name"": ""viking""}, {""id"": 5939, ""name"": ""iraq""}, {""id"": 6091, ""name"": ""war""}, {""id"": 10364, ""name"": ""mission""}]",en,The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.",27.220157,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-08-27,61698899,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""no"", ""name"": ""Norsk""}]",Released,Prey for the living.,The 13th Warrior,6.4,510,1999.0,"['Adventure', 'Fantasy', 'Action']",['United States of America']
125000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}]",,415,"[{""id"": 848, ""name"": ""double life""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 855, ""name"": ""fictional place""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 10452, ""name"": ""credit card""}, {""id"": 163455, ""name"": ""super powers""}]",en,Batman & Robin,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.",50.073575,"[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-06-20,238207122,125.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Strength. Courage. Honor. And loyalty.,Batman & Robin,4.2,1418,1997.0,"['Action', 'Crime', 'Fantasy']","['United Kingdom', 'United States of America']"
115000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,1893,"[{""id"": 530, ""name"": ""prophecy""}, {""id"": 1399, ""name"": ""senate""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 2063, ""name"": ""taskmaster""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 4488, ""name"": ""apprentice""}, {""id"": 6128, ""name"": ""taxes""}, {""id"": 161176, ""name"": ""space opera""}]",en,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",54.035265,"[{""name"": ""Lucasfilm"", ""id"": 1}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-05-19,924317558,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,Star Wars: Episode I - The Phantom Menace,6.3,4432,1999.0,"['Adventure', 'Action', 'Science Fiction']",['United States of America']
